project,repo_url
IRC Bot (c2nes/ircbot),https://github.com/c2nes/ircbot
Passsafe,https://github.com/iweinzierl/passsafe
Alfred MPI,https://github.com/furio/alfred-mpi
Whydah - UserAdminService,https://github.com/altran/Whydah-UserAdminService
Drugis Common,https://github.com/gertvv/drugis-common
PhiCode Philib,https://github.com/PhiCode/philib
Dagger,https://github.com/square/dagger
Tap4j,https://github.com/tupilabs/tap4j
Pusher Java Client,https://github.com/pusher/pusher-java-client
GitHub Pull Request Builder,https://github.com/mdelapenya/ghprb-plugin
OpenConext-crunche,https://github.com/OpenConext/OpenConext-cruncher
Lyra,https://github.com/jhalterman/lyra
